,DescGalaxyID,DMHalfMassRad,DMMass100AP,M500DM,R500DM,M200DMmean,R200DMmean
1207,1300004,47.620655,351077000000.0,348547000000.0,86.94189,499825000000.0,127.9867
1208,1300005,42.76921,358774870000.0,350802120000.0,82.9975,479254640000.0,122.16109
1209,1300006,40.29347,345066080000.0,341834560000.0,78.1294,453341050000.0,114.1092
1210,1300007,38.69341,326005620000.0,303829800000.0,71.116356,418032400000.0,104.96238
1211,1300008,35.842953,316552940000.0,283428750000.0,63.06059,389268000000.0,93.81063
1212,1300009,31.439503,292644980000.0,263185830000.0,56.682545,357279700000.0,84.222275
1213,1300010,28.664495,264219100000.0,234599280000.0,50.1009,319191400000.0,74.635994
1214,1300011,26.784037,225652200000.0,186715230000.0,42.54037,278119700000.0,65.340485
1215,1300012,22.036674,189004920000.0,176537040000.0,39.048866,232551600000.0,57.73379
1216,1300013,21.030382,173967920000.0,149719630000.0,34.53697,207774370000.0,51.970055
1217,1301768,102.56084,560926200000.0,956525800000.0,153.01381,1804844800000.0,229.23781
1218,1301769,87.00062,545734160000.0,807315960000.0,139.98894,1620238000000.0,213.54453
1219,1301770,79.84622,515029960000.0,684790500000.0,128.784,1243793700000.0,189.54143
1220,1301771,70.25939,508863900000.0,651593450000.0,122.63697,936779840000.0,179.51343
1221,1301772,64.86318,502949900000.0,615918600000.0,116.07797,874481600000.0,169.82674
1222,1301773,62.697872,485237100000.0,563642200000.0,106.7474,813182900000.0,157.04143
1223,1301774,62.56377,488349200000.0,543768020000.0,100.83542,809835560000.0,150.10443
1224,1301775,63.07412,497443080000.0,546188800000.0,96.19792,825052950000.0,145.12338
1225,1301776,57.975864,525442420000.0,559745600000.0,92.0882,823688700000.0,139.06154
1226,1301777,53.85091,525035240000.0,574011800000.0,87.91287,798799700000.0,130.46461
1227,1301778,51.572483,422868840000.0,374979200000.0,69.227516,673700400000.0,110.54867
1228,1301779,60.715862,389595460000.0,315526350000.0,60.21305,566737800000.0,97.23924
1229,1301780,42.724922,410769400000.0,520518500000.0,65.34684,745607200000.0,98.97718
1230,1301781,44.15158,353859470000.0,220245430000.0,44.947834,569489500000.0,82.468376
1231,1301782,32.563965,295204450000.0,260958200000.0,44.480747,389325130000.0,68.496666
1232,1301783,28.20289,227290640000.0,186995260000.0,37.193222,286779240000.0,57.895897
1233,1303173,103.39228,396469240000.0,543690460000.0,126.749916,1258605400000.0,191.05957
1234,1303174,92.01983,408306880000.0,556769150000.0,123.67944,1178642800000.0,189.75925
1235,1303175,83.76689,403692030000.0,564308100000.0,120.73836,1270218600000.0,187.61127
1236,1303176,74.74397,398999620000.0,547266530000.0,115.70959,1104956100000.0,182.2346
1237,1303177,61.802666,398670000000.0,493932100000.0,107.84476,817487350000.0,161.37817
1238,1303178,60.928314,384389200000.0,465257200000.0,100.1345,759858270000.0,151.04068
1239,1303179,53.284023,393095350000.0,464710730000.0,95.68797,666197800000.0,141.13841
1240,1303180,49.960396,363321850000.0,385108020000.0,85.621605,585430470000.0,129.54985
1241,1303181,45.488064,328099760000.0,322171930000.0,76.601265,501973000000.0,115.453026
1242,1303182,44.3764,311792660000.0,293715500000.0,70.3186,453243600000.0,106.754326
1243,1303183,46.987873,303833060000.0,272038040000.0,62.205086,441393100000.0,96.13652
1244,1303184,48.597824,303978480000.0,272415620000.0,57.33482,449065350000.0,90.35079
1245,1303185,36.983315,239603370000.0,217484030000.0,48.85132,438538960000.0,82.4988
1246,1303186,27.00112,150185950000.0,108165850000.0,35.460835,180460600000.0,56.084427
1247,1303187,25.324095,138115630000.0,108915106000.0,33.241035,171048500000.0,52.099503
1248,1303188,17.427633,120780890000.0,128203140000.0,32.796207,154230870000.0,47.207302
1249,1304142,83.26613,461532660000.0,819262200000.0,145.31946,1708868800000.0,220.95648
1250,1304143,76.25635,451188060000.0,574811100000.0,125.00255,933515030000.0,184.70941
1251,1304144,73.834946,450111900000.0,558466660000.0,120.32113,893926800000.0,178.31166
1252,1304145,67.03434,463811000000.0,564905050000.0,116.93847,861393600000.0,172.4438
1253,1304146,62.55625,462366440000.0,549394640000.0,111.74202,835667360000.0,165.5449
1254,1304147,62.938244,446815600000.0,505363920000.0,102.93631,786143900000.0,152.95433
1255,1304148,60.80637,441599660000.0,477534300000.0,96.561554,763861100000.0,144.75346
1256,1304149,68.64558,437915550000.0,457977800000.0,90.710594,774661200000.0,141.01445
1257,1304150,62.72491,446359930000.0,507763230000.0,89.146126,743211660000.0,134.83138
1258,1304152,46.779922,235599330000.0,175784570000.0,53.77752,331215900000.0,88.28623
1259,1304153,36.710503,219321320000.0,212040940000.0,52.7407,323905550000.0,81.30621
1260,1304154,32.15171,165087250000.0,115054395000.0,39.510838,189014470000.0,62.237106
1261,1304155,24.45807,132802740000.0,121145246000.0,36.827446,161817210000.0,54.629482
1262,1304156,22.811626,118473466000.0,93706930000.0,31.615175,147718980000.0,49.618893
1263,1304157,18.90402,98356250000.0,88054910000.0,28.936556,114535810000.0,42.695126
1264,1305519,109.96644,531104300000.0,729347460000.0,139.78906,1480540400000.0,209.8907
1265,1305520,95.241,549660660000.0,737755270000.0,135.84048,1418722400000.0,202.71872
1266,1305521,96.05861,540333970000.0,714564960000.0,130.62685,1368763300000.0,194.48674
1267,1305522,95.79998,531812100000.0,678303900000.0,124.2924,1318495200000.0,187.44131
1268,1305523,88.79169,541778600000.0,668162460000.0,119.27398,1264327200000.0,179.14655
1269,1305524,74.72904,550387700000.0,670784900000.0,113.12275,1190152600000.0,173.45421
1270,1305525,68.326935,540178900000.0,630598500000.0,105.93943,1065551200000.0,161.5208
1271,1305526,60.594738,526479750000.0,565238560000.0,97.302734,863058900000.0,144.42703
1272,1305527,57.615746,503735200000.0,511051300000.0,89.339485,756355900000.0,133.6938
1273,1305528,53.164257,477151430000.0,478917900000.0,82.762596,711525300000.0,124.95618
1274,1305529,52.930473,468173780000.0,437131840000.0,72.858025,653986700000.0,110.67775
1275,1305530,42.765213,476559970000.0,436006980000.0,67.06578,634539100000.0,101.66536
1276,1305531,51.268543,404341620000.0,281137280000.0,53.217438,536859640000.0,88.480515
1277,1305532,34.254894,368605660000.0,356621320000.0,52.781036,479228620000.0,78.654526
1278,1305533,24.626307,212554190000.0,231349140000.0,42.73131,281574500000.0,61.70128
1279,1305534,28.532375,143399440000.0,90785915000.0,29.231318,172637060000.0,48.495518
1280,1308772,113.848526,555264400000.0,835856000000.0,146.28876,1714679400000.0,218.8337
1281,1308773,109.63128,545792330000.0,815395300000.0,140.45525,1654628000000.0,212.09116
1282,1308774,94.61928,579608640000.0,867014100000.0,139.322,1567234600000.0,207.25566
1283,1308775,95.55341,545007000000.0,799370000000.0,131.28755,1500010100000.0,200.24982
1284,1308776,95.586624,510424780000.0,734048500000.0,123.07506,1360499400000.0,190.19603
1285,1308777,82.049,483511300000.0,739819060000.0,116.87878,1162426300000.0,177.06662
1286,1308778,67.760735,423072430000.0,664639440000.0,107.81041,1021587160000.0,160.11206
1287,1308779,78.846695,258149990000.0,239181120000.0,73.04947,588367860000.0,125.41325
1288,1308780,57.67914,209490540000.0,199570130000.0,65.29772,346713000000.0,100.023155
1289,1308781,45.0608,180599310000.0,163422390000.0,57.834595,281836500000.0,88.729546
